Treatment/Control,Year,Array,Tube,z,Date,Length (cm),Width (cm),Volume (cm3),Set
Control,1,2,2,8,11/04/2017,1.24808,0.086012615,0.007251974050452,1
Control,1,2,2,8,11/04/2017,1.16959,0.072323293,0.004804846801161,1
Control,1,2,2,9,11/04/2017,0.08898,0.025789494,4.64801540025989E-05,1
Control,1,2,2,9,11/04/2017,0.19088,0.028859126,0.0001248579757,1
Control,1,2,2,9,11/04/2017,0.21613,0.018320846,5.697648016622E-05,1
Control,1,2,2,10,11/04/2017,0.72045,0.040148849,0.00091209391599,1
Control,1,2,2,10,11/04/2017,0.53454,0.043285618,0.000786605481917,1
Control,1,2,2,10,11/04/2017,0.2813,0.027162058,0.000162998869078,1
Control,1,2,3,3,11/04/2017,0.33063,0.058319155,0.000883190150671,1
Control,1,2,3,3,11/04/2017,1.33824,0.084226133,0.007456194783447,1
Control,1,2,3,3,11/04/2017,1.91164,0.082597616,0.010243081987976,1
Control,1,2,3,3,11/04/2017,0.1701,0.059755156,0.000477028797144,1
Control,1,2,3,3,11/04/2017,1.137,0.09919968,0.008787604885353,1
Control,1,2,3,3,11/04/2017,0.42733,0.058133172,0.001134229499928,1
Control,1,2,3,4,11/04/2017,0.37445,0.020019321,0.000117864233469,1
Control,1,2,3,4,11/04/2017,1.56482,0.102524699,0.01291846487144,1
Control,1,2,3,4,11/04/2017,0.34864,0.073461416,0.001477696749616,1
Control,1,2,3,5,11/04/2017,0.33405,0.042278909,0.000468973749877,1
Control,1,2,3,6,11/04/2017,0.45099,0.045302739,0.000726951349575,1
Control,1,2,3,6,11/04/2017,1.65357,0.098522176,0.01260608089002,1
Control,1,2,3,7,11/04/2017,1.1873,0.11372052,0.012059454300814,1
Control,1,2,3,8,11/04/2017,1.40042,0.106021039,0.01236322949387,1
Control,1,2,3,9,11/04/2017,0.84493,0.078039986,0.00404151886705,1
Control,1,2,3,11,11/04/2017,1.10334,0.04165318,0.001503471513624,1
Control,1,2,3,11,11/04/2017,0.71285,0.042717494,0.001021643091721,1
Control,1,2,3,11,11/04/2017,0.29666,0.047977299,0.000536315188266,1
Control,1,2,4,2,11/04/2017,1.21703,0.022813519,0.000497479695263,1
Control,1,2,4,2,11/04/2017,1.58771,0.036621436,0.001672366403707,1
Control,1,2,4,2,11/04/2017,0.20466,0.020724353,6.90374030653344E-05,1
Control,1,2,4,2,11/04/2017,0.09637,0.031664416,7.58882151622013E-05,1
Control,1,2,4,2,11/04/2017,1.25078,0.046857086,0.002156855231786,1
Control,1,2,4,2,11/04/2017,1.3767,0.01912347,0.000395423271335,1
Control,1,2,4,2,11/04/2017,0.91094,0.021818027,0.000340573017247,1
Control,1,2,4,2,11/04/2017,0.29567,0.025894061,0.000155703046232,1
Control,1,2,4,2,11/04/2017,0.31309,0.050483153,0.000626688397586,1
Control,1,2,4,2,11/04/2017,0.75393,0.043665295,0.001128998426274,1
Control,1,2,4,3,11/04/2017,0.37665,0.020973607,0.000130128893909,1
Control,1,2,4,3,11/04/2017,0.32623,0.026346022,0.000177845758055,1
Control,1,2,4,3,11/04/2017,0.20568,0.017890621,5.17049841523972E-05,1
Control,1,2,4,3,11/04/2017,0.32318,0.01746183,7.73951066064907E-05,1
Control,1,2,4,3,11/04/2017,0.657,0.029665499,0.000454107003612,1
Control,1,2,4,3,11/04/2017,1.17409,0.009624986,8.54262055922499E-05,1
Control,1,2,4,3,11/04/2017,0.64222,0.021115923,0.00022490208418,1
Control,1,2,4,4,11/04/2017,1.15191,0.071253257,0.004593222723326,1
Control,1,2,4,4,11/04/2017,0.37559,0.034608946,0.000353329811561,1
Control,1,2,4,4,11/04/2017,0.5844,0.028707368,0.000378256565495,1
Control,1,2,4,4,11/04/2017,0.94143,0.03259831,0.000785719839072,1
Control,1,2,4,4,11/04/2017,1.48044,0.032063534,0.00119537206193,1
Control,1,2,4,5,11/04/2017,1.12754,0.030876024,0.000844236669451,1
Control,1,2,4,5,11/04/2017,0.55107,0.06509163,0.001833777237793,1
Control,1,2,4,5,11/04/2017,1.08708,0.059938867,0.003067383513641,1
Control,1,2,4,5,11/04/2017,0.7471,0.065145054,0.002490182333827,1
Control,1,2,4,6,11/04/2017,0.32684,0.057812836,0.000857972295976,1
Control,1,2,4,7,11/04/2017,0.68232,0.028876334,0.00044684996563,1
Control,1,2,4,9,11/04/2017,0.3638,0.122964933,0.004320308546523,1
Control,1,2,4,10,11/04/2017,0.31871,0.122964933,0.00378484204745,1
Control,1,2,4,11,11/04/2017,0.75169,0.117185518,0.008107298723492,1
Control,1,2,4,12,11/04/2017,1.50091,0.073542376,0.006375576768917,1
Control,1,2,4,13,11/04/2017,0.31266,0.126574839,0.003934201552037,1
Control,1,3,1,8,11/04/2017,0.54633,0.017728147,0.000134856303747,1
Control,1,3,2,2,11/04/2017,1.5547,0.021548213,0.000566968110927,1
Control,1,3,2,3,11/04/2017,0.13405,0.023194027,5.6638096567507E-05,1
Control,1,3,2,3,11/04/2017,1.04741,0.025739252,0.000545001972633,1
Control,1,3,2,3,11/04/2017,0.42406,0.016207609,8.74892564493761E-05,1
Control,1,3,2,3,11/04/2017,0.53639,0.014543795,8.91098424751283E-05,1
Control,1,3,2,3,11/04/2017,1.11077,0.035216017,0.001081917451116,1
Control,1,3,2,3,11/04/2017,0.41534,0.036529452,0.000435290899318,1
Control,1,3,2,3,11/04/2017,0.21078,0.024945819,0.000103018316508,1
Control,1,3,2,3,11/04/2017,0.5665,0.028255681,0.000355222925303,1
Control,1,3,2,3,11/04/2017,1.409,0.025040216,0.000693867664918,1
Control,1,3,2,4,11/04/2017,1.1494,0.262524916,0.062215953837423,1
Control,1,3,2,4,11/04/2017,0.46619,0.032785157,0.000393556421924,1
Control,1,3,2,4,11/04/2017,0.03279,0.02327388,1.39498170759856E-05,1
Control,1,3,2,5,11/04/2017,0.52656,0.006672899,1.84147777829814E-05,1
Control,1,3,2,5,11/04/2017,0.16949,0.02187631,6.37062046098418E-05,1
Control,1,3,2,5,11/04/2017,0.50407,0.014453791,8.27073120412672E-05,1
Control,1,3,2,5,11/04/2017,0.76638,0.018648599,0.000209327409036,1
Control,1,3,2,6,11/04/2017,0.20915,0.017317437,4.92622922303883E-05,1
Control,1,3,2,6,11/04/2017,0.41083,0.030968446,0.000309450002102,1
Control,1,3,2,7,11/04/2017,0.99138,0.061843152,0.002977919137028,1
Control,1,3,2,8,11/04/2017,0.71498,0.062065423,0.002163131129718,1
Control,1,3,2,12,11/04/2017,0.29479,0.023652955,0.000129530807432,1
Control,1,3,2,13,11/04/2017,0.41233,0.021016797,0.000143043295619,1
Control,1,3,2,13,11/04/2017,0.34818,0.020715327,0.000117348332275,1
Control,1,3,3,1,11/04/2017,0.7361,0.017099993,0.000169051176473,1
Control,1,3,3,1,11/04/2017,1.51792,0.037473769,0.001674145301881,1
Control,1,3,3,2,11/04/2017,0.14392,0.039272328,0.000174334747668,1
Control,1,3,3,2,11/04/2017,1.51086,0.031946366,0.001211034913524,1
Control,1,3,3,3,11/04/2017,1.22379,0.052181403,0.002617145803322,1
Control,1,3,3,3,11/04/2017,0.44687,0.037680338,0.000498310793424,1
Control,1,3,3,3,11/04/2017,0.13253,0.018053428,3.39252509625995E-05,1
Control,1,3,3,3,11/04/2017,0.14069,0.020268104,4.53919659146836E-05,1
Control,1,3,3,3,11/04/2017,0.41633,0.025052655,0.000205227113366,1
Control,1,3,3,3,11/04/2017,0.17474,0.024249821,8.07047172548662E-05,1
Control,1,3,3,3,11/04/2017,0.46423,0.02690082,0.000263847968133,1
Control,1,3,3,3,11/04/2017,0.75539,0.021237952,0.000267599942401,1
Control,1,3,3,3,11/04/2017,0.10676,0.02568045,5.52972251795799E-05,1
Control,1,3,3,3,11/04/2017,1.04295,0.022617971,0.000419044638842,1
Control,1,3,3,3,11/04/2017,0.94996,0.021574984,0.000347292814617,1
Control,1,3,3,3,11/04/2017,0.1168,0.031669974,9.20084619599858E-05,1
Control,1,3,3,3,11/04/2017,0.9159,0.023799588,0.000407451997705,1
Control,1,3,3,3,11/04/2017,0.59726,0.013135517,8.09370341544403E-05,1
Control,1,3,3,3,11/04/2017,0.14844,0.03005887,0.000105338167889,1
Control,1,3,3,3,11/04/2017,0.87897,0.028943579,0.000578319760713,1
Control,1,3,3,3,11/04/2017,0.16041,0.019071659,4.58245173371715E-05,1
Control,1,3,3,3,11/04/2017,0.08504,0.026842552,4.81238508662143E-05,1
Control,1,3,3,3,11/04/2017,0.20837,0.016861832,4.65301253170232E-05,1
Control,1,3,3,3,11/04/2017,0.70724,0.016620867,0.000153448864335,1
Control,1,3,3,3,11/04/2017,0.09509,0.021795342,3.54773962067251E-05,1
Control,1,3,3,3,11/04/2017,0.19623,0.024787851,9.46962262565023E-05,1
Control,1,3,3,3,11/04/2017,0.44753,0.027590998,0.000267575587325,1
Control,1,3,3,3,11/04/2017,0.61572,0.010724665,5.56211860985357E-05,1
Control,1,3,3,3,11/04/2017,1.14994,0.032339212,0.000944546976545,1
Control,1,3,3,3,11/04/2017,0.09161,0.021198688,3.23333247073149E-05,1
Control,1,3,3,3,11/04/2017,0.83132,0.025482175,0.000423965708716,1
Control,1,3,3,3,11/04/2017,0.33345,0.049239456,0.000634960528307,1
Control,1,3,3,3,11/04/2017,0.7825,0.035359256,0.000768387157263,1
Control,1,3,3,3,11/04/2017,0.81366,0.043086971,0.001186381619766,1
Control,1,3,3,3,11/04/2017,0.2015,0.015111226,3.61379877782918E-05,1
Control,1,3,3,3,11/04/2017,0.70175,0.075736612,0.003161430820236,1
Control,1,3,3,3,11/04/2017,0.89865,0.032317765,0.00073716164489,1
Control,1,3,3,4,11/04/2017,0.6998,0.038488575,0.000814192536232,1
Control,1,3,3,4,11/04/2017,0.70141,0.025060683,0.00034597703612,1
Control,1,3,3,4,11/04/2017,0.17403,0.028616021,0.000111926294613,1
Control,1,3,3,4,11/04/2017,0.23572,0.02700356,0.000134998204639,1
Control,1,3,3,4,11/04/2017,1.19456,0.036899733,0.001277450057404,1
Control,1,3,3,4,11/04/2017,0.33383,0.01663141,7.25225417867102E-05,1
Control,1,3,3,4,11/04/2017,1.67468,0.035918812,0.001696935270631,1
Control,1,3,3,4,11/04/2017,0.13414,0.02928047,9.03241542435401E-05,1
Control,1,3,3,4,11/04/2017,0.50606,0.042877087,0.000730704985577,1
Control,1,3,3,4,11/04/2017,0.45269,0.048275245,0.0008285894294,1
Control,1,3,3,8,11/04/2017,0.4334,0.017728147,0.000106980619852,1
Control,1,3,3,9,11/04/2017,0.51338,0.030066225,0.000364490544541,1
Control,1,3,3,9,11/04/2017,0.45746,0.009685776,3.37063310731768E-05,1
Control,1,3,3,12,11/04/2017,0.00969,0.029992276,6.84592504060127E-06,1
Control,1,3,3,12,11/04/2017,0.3659,0.022048874,0.000139709119425,1
Control,1,3,4,3,11/04/2017,0.39152,0.018264684,0.000102581204021,1
Control,1,3,4,3,11/04/2017,0.90372,0.079568671,0.004493736642193,1
Control,1,3,4,4,11/04/2017,0.49143,0.018381985,0.000130417537073,1
Control,1,3,4,4,11/04/2017,0.17686,0.011876161,1.95916623878117E-05,1
Control,1,3,4,5,11/04/2017,0.66266,0.029890593,0.000464996124079,1
Control,1,3,4,5,11/04/2017,0.96025,0.021412618,0.000345790747875,1
Control,1,3,4,6,11/04/2017,0.44063,0.054737593,0.00103689545095,1
Control,1,3,4,6,11/04/2017,0.43349,0.026973189,0.000247704096446,1
Control,1,3,4,7,11/04/2017,0.57547,0.042758575,0.000826339758978,1
Control,1,3,4,7,11/04/2017,0.54222,0.041706996,0.000740769116638,1
Control,1,3,4,7,11/04/2017,0.37906,0.061979659,0.001143657119298,1
Control,1,3,4,8,11/04/2017,1.5026,0.029441785,0.001022965937428,1
Control,1,3,4,8,11/04/2017,1.17641,0.009463577,8.2748258458208E-05,1
Control,1,3,4,9,11/04/2017,0.98101,0.076172778,0.004470566278531,1
Treatment,1,4,1,3,11/04/2017,0.65808,0.026532807,0.000363860240839,1
Treatment,1,4,1,4,11/04/2017,0.26071,0.012151399,3.02342894921919E-05,1
Treatment,1,4,1,4,11/04/2017,0.24795,0.01609246,5.0431107281116E-05,1
Treatment,1,4,1,4,11/04/2017,0.17099,0.007555028,7.66535695023195E-06,1
Treatment,1,4,1,8,11/04/2017,0.29461,0.023639119,0.000129300311883,1
Treatment,1,4,1,8,11/04/2017,0.3445,0.008480819,1.94605150242163E-05,1
Treatment,1,4,1,9,11/04/2017,0.28235,0.023484384,0.000122302589579,1
Treatment,1,4,1,9,11/04/2017,0.33294,0.0233611,0.000142705945284,1
Treatment,1,4,1,9,11/04/2017,1.37032,0.02315976,0.000577270839651,1
Treatment,1,4,1,9,11/04/2017,1.39925,0.022923682,0.000577502117001,1
Treatment,1,4,1,11,11/04/2017,1.23404,0.026289342,0.000669850959904,1
Treatment,1,4,1,11,11/04/2017,1.25289,0.029488634,0.000855680761796,1
Treatment,1,4,1,11,11/04/2017,0.52856,0.071079209,0.002097340680581,1
Treatment,1,4,1,12,11/04/2017,1.3215,0.039593386,0.001627054010994,1
Treatment,1,4,1,12,11/04/2017,0.73691,0.032786699,0.00062215608317,1
Treatment,1,4,1,13,11/04/2017,0.97266,0.148412693,0.016826456296939,1
Treatment,1,4,1,13,11/04/2017,0.29156,0.011937445,3.26317393534203E-05,1
Treatment,1,4,2,3,11/04/2017,0.97906,0.037894324,0.001104198493423,1
Treatment,1,4,2,4,11/04/2017,1.98003,0.101043001,0.015877194232688,1
Treatment,1,4,2,4,11/04/2017,0.62105,0.079924981,0.00311588316007,1
Treatment,1,4,2,5,11/04/2017,1.52509,0.094985125,0.010806776883795,1
Treatment,1,4,2,5,11/04/2017,0.4816,0.032676904,0.000403885068025,1
Treatment,1,4,2,6,11/04/2017,0.69873,0.104243046,0.005963388325086,1
Treatment,1,4,2,6,11/04/2017,0.12193,0.098827549,0.000935311205945,1
Treatment,1,4,2,7,11/04/2017,1.6126,0.084779332,0.009103243309893,1
Treatment,1,4,2,7,11/04/2017,0.25388,0.04451345,0.000395094073345,1
Treatment,1,4,2,9,11/04/2017,2.16285,0.142226601,0.034361932294951,1
Treatment,1,4,2,9,11/04/2017,0.4037,0.024969898,0.000197688679533,1
Treatment,1,4,2,10,11/04/2017,1.31957,0.028392662,0.000835476373214,1
Treatment,1,4,2,12,11/04/2017,1.19729,0.073467658,0.005075528386113,1
Treatment,1,4,2,12,11/04/2017,1.21853,0.085860308,0.007055221036919,1
Treatment,1,4,2,13,11/04/2017,0.21034,0.094888017,0.001487421742492,1
Treatment,1,4,3,2,11/04/2017,0.78606,0.057823036,0.002064177276028,1
Treatment,1,4,3,2,11/04/2017,0.4604,0.022308205,0.000179950924843,1
Treatment,1,4,3,5,11/04/2017,0.88024,0.055218002,0.002107909643767,1
Treatment,1,4,3,6,11/04/2017,0.72967,0.04980026,0.00142127862847,1
Treatment,1,4,3,6,11/04/2017,0.37136,0.05695316,0.000946063503142,1
Treatment,1,4,3,7,11/04/2017,1.27435,0.02253723,0.000508369294733,1
Treatment,1,4,3,10,11/04/2017,0.85661,0.02403572,0.000388675286004,1
Treatment,1,4,4,3,11/04/2017,1.05056,0.056541998,0.002637865679175,1
Treatment,1,4,4,4,11/04/2017,1.39624,0.052383117,0.003009069816467,1
Treatment,1,4,4,4,11/04/2017,0.20876,0.024809108,0.000100915784832,1
Treatment,1,4,4,4,11/04/2017,0.40459,0.045000276,0.000643479941694,1
Treatment,1,4,4,6,11/04/2017,0.70539,0.052315583,0.001516285395415,1
Treatment,1,4,4,6,11/04/2017,0.17848,0.054631559,0.000418375514829,1
Treatment,1,4,4,8,11/04/2017,0.90354,0.06815376,0.003296222650505,1
Treatment,1,4,4,8,11/04/2017,0.12192,0.035258865,0.000119042249394,1
Treatment,1,4,4,8,11/04/2017,0.20277,0.064308987,0.000658622484535,1
Treatment,1,4,4,8,11/04/2017,0.399,0.051589435,0.000834034380305,1
Treatment,1,4,4,8,11/04/2017,0.11717,0.063660194,0.000372942484738,1
Treatment,1,4,4,8,11/04/2017,0.15383,0.02860925,9.88879787669248E-05,1
Treatment,1,4,4,8,11/04/2017,1.45423,0.045897705,0.002406049482507,1
Control,1,5,1,4,11/04/2017,0.90646,0.069846178,0.003473149292584,1
Control,1,5,1,4,11/04/2017,0.25761,0.011903231,2.86669808146218E-05,1
Control,1,5,1,4,11/04/2017,0.78152,0.042417922,0.001104405064338,1
Control,1,5,1,6,11/04/2017,0.27328,0.027870627,0.000166721205426,1
Control,1,5,1,7,11/04/2017,1.67919,0.043024892,0.002441343736074,1
Control,1,5,1,8,11/04/2017,0.71377,0.020314989,0.000231356117729,1
Control,1,5,1,11,11/04/2017,0.5144,0.009853299,3.9224173197579E-05,1
Control,1,5,1,11,11/04/2017,0.26833,0.006015444,7.62595294992409E-06,1
Control,1,5,1,12,11/04/2017,0.52468,0.051767034,0.00110430894463,1
Control,1,5,1,12,11/04/2017,0.2025,0.012215125,2.37306903901633E-05,1
Control,1,5,1,12,11/04/2017,0.15251,0.007014706,5.89395455391759E-06,1
Control,1,5,1,13,11/04/2017,0.90646,0.069846178,0.003473149292584,1
Control,1,5,2,4,11/04/2017,0.4134,0.105153998,0.003590141497064,1
Control,1,5,2,4,11/04/2017,0.35375,0.094944284,0.002504514846531,1
Control,1,5,2,4,11/04/2017,1.00587,0.108729061,0.00933947889223,1
Control,1,5,2,4,11/04/2017,0.46912,0.043354806,0.000692544935391,1
Control,1,5,2,6,11/04/2017,1.50841,0.035853272,0.001522882896779,1
Control,1,5,2,6,11/04/2017,1.35045,0.073672003,0.005756691800981,1
Control,1,5,2,8,11/04/2017,0.45983,0.02893422,0.000302350279887,1
Control,1,5,2,8,11/04/2017,0.24028,0.034411183,0.000223463370129,1
Control,1,5,2,9,11/04/2017,0.80391,0.041751829,0.001100646750643,1
Control,1,5,2,10,11/04/2017,0.29916,0.29406237,0.020317578449527,1
Control,1,5,2,11,11/04/2017,0.80391,0.29406237,0.054597889060568,1
Control,1,5,2,12,11/04/2017,0.80416,0.031670711,0.000633501442361,1
Control,1,5,2,13,11/04/2017,0.39922,0.048962712,0.00075167954948,1
Control,1,5,3,2,11/04/2017,0.06582,0.008353746,3.6075297799083E-06,1
Control,1,5,3,2,11/04/2017,0.20915,0.014341525,3.37860991376077E-05,1
Control,1,5,3,2,11/04/2017,0.29497,0.011948314,3.30735350894448E-05,1
Control,1,5,3,2,11/04/2017,0.28244,0.011057062,2.71203448157265E-05,1
Control,1,5,3,2,11/04/2017,0.73792,0.021084786,0.000257654178976,1
Control,1,5,3,3,11/04/2017,0.07163,0.009690098,5.28251579439586E-06,1
Control,1,5,3,3,11/04/2017,0.13608,0.015790098,2.66473156267386E-05,1
Control,1,5,3,3,11/04/2017,0.24105,0.009943064,1.87170379107739E-05,1
Control,1,5,3,3,11/04/2017,0.49159,0.007005716,1.89494936597343E-05,1
Control,1,5,3,4,11/04/2017,1.7451,0.053180217,0.003876234505998,1
Control,1,5,3,4,11/04/2017,1.1392,0.076318688,0.005211362485936,1
Control,1,5,3,5,11/04/2017,0.5636,0.015448674,0.000105643532926,1
Control,1,5,3,5,11/04/2017,0.7877,0.00746833,3.45062178134172E-05,1
Control,1,5,3,5,11/04/2017,0.53619,0.016760995,0.000118306285166,1
Control,1,5,3,5,11/04/2017,0.39038,0.090777678,0.002526592564646,1
Control,1,5,3,7,11/04/2017,1.06688,0.00717043,4.30819635775517E-05,1
Control,1,5,3,7,11/04/2017,0.23716,0.086756029,0.001401942774711,1
Control,1,5,3,7,11/04/2017,1.25005,0.150591955,0.022264884253296,1
Control,1,5,3,8,11/04/2017,1.12152,0.098934069,0.008621608138996,1
Control,1,5,3,9,11/04/2017,0.3358,0.007766662,1.59088584263352E-05,1
Control,1,5,3,10,11/04/2017,1.29358,0.046008148,0.002150563696064,1
Control,1,5,3,10,11/04/2017,0.28,0.017882568,7.03246073810823E-05,1
Control,1,5,3,11,11/04/2017,0.39491,0.011219512,3.90423167473068E-05,1
Control,1,5,3,13,11/04/2017,0.60349,0.005721951,1.5518432854378E-05,1
Control,1,5,3,13,11/04/2017,1.34497,0.009201387,8.94352460105321E-05,1
Control,1,5,4,1,11/04/2017,0.2167,0.020718465,7.30572932888607E-05,1
Control,1,5,4,1,11/04/2017,0.05724,0.029398101,3.88532806247847E-05,1
Control,1,5,4,1,11/04/2017,1.01591,0.015502874,0.000191764929193,1
Control,1,5,4,2,11/04/2017,1.07136,0.083192122,0.005823570619971,1
Control,1,5,4,2,11/04/2017,1.59777,0.110353751,0.015281921922458,1
Control,1,5,4,3,11/04/2017,0.29712,0.014328969,4.79127708288356E-05,1
Control,1,5,4,3,11/04/2017,0.60467,0.039104926,0.000726224461875,1
Control,1,5,4,3,11/04/2017,1.03718,0.164145702,0.021948390549931,1
Control,1,5,4,3,11/04/2017,1.69112,0.190475527,0.048188377951961,1
Control,1,5,4,6,11/04/2017,0.90898,0.040276771,0.001158118858881,1
Control,1,5,4,6,11/04/2017,0.41615,0.054952583,0.000986996551497,1
Control,1,5,4,6,11/04/2017,0.76556,0.058424201,0.002052363639066,1
Control,1,5,4,6,11/04/2017,0.50858,0.040197866,0.000645438382643,1
Control,1,5,4,7,11/04/2017,0.32062,0.050763503,0.000648908243491,1
Control,1,5,4,7,11/04/2017,0.21791,0.04899029,0.000410758629164,1
Control,1,5,4,12,11/04/2017,0.10855,0.006780958,3.92013886225282E-06,1
Control,1,5,4,12,11/04/2017,0.45537,0.050752389,0.000921227534946,1
Treatment,1,6,1,6,11/04/2017,1.12111,0.041825056,0.001540319463279,1
